industry_segment_label,hfb_no,date_purchase_month,cust_by_hfb
Arts_Recreation,01,2024-06-01,21
Arts_Recreation,01,2024-07-01,24
Arts_Recreation,01,2024-08-01,18
Arts_Recreation,01,2024-09-01,13
Arts_Recreation,01,2024-10-01,16
Arts_Recreation,01,2024-11-01,18
Arts_Recreation,01,2024-12-01,20
Arts_Recreation,01,2025-01-01,17
Arts_Recreation,01,2025-02-01,22
Arts_Recreation,01,2025-03-01,22
Arts_Recreation,01,2025-04-01,16
Arts_Recreation,01,2025-05-01,13
Arts_Recreation,02,2024-06-01,52
Arts_Recreation,02,2024-07-01,56
Arts_Recreation,02,2024-08-01,59
Arts_Recreation,02,2024-09-01,52
Arts_Recreation,02,2024-10-01,52
Arts_Recreation,02,2024-11-01,39
Arts_Recreation,02,2024-12-01,48
Arts_Recreation,02,2025-01-01,34
Arts_Recreation,02,2025-02-01,47
Arts_Recreation,02,2025-03-01,57
Arts_Recreation,02,2025-04-01,55
Arts_Recreation,02,2025-05-01,34
Arts_Recreation,03,2024-06-01,32
Arts_Recreation,03,2024-07-01,39
Arts_Recreation,03,2024-08-01,38
Arts_Recreation,03,2024-09-01,34
Arts_Recreation,03,2024-10-01,36
Arts_Recreation,03,2024-11-01,30
Arts_Recreation,03,2024-12-01,30
Arts_Recreation,03,2025-01-01,36
Arts_Recreation,03,2025-02-01,40
Arts_Recreation,03,2025-03-01,45
Arts_Recreation,03,2025-04-01,32
Arts_Recreation,03,2025-05-01,26
Arts_Recreation,04,2024-06-01,23
Arts_Recreation,04,2024-07-01,37
Arts_Recreation,04,2024-08-01,24
Arts_Recreation,04,2024-09-01,29
Arts_Recreation,04,2024-10-01,32
Arts_Recreation,04,2024-11-01,27
Arts_Recreation,04,2024-12-01,19
Arts_Recreation,04,2025-01-01,32
Arts_Recreation,04,2025-02-01,31
Arts_Recreation,04,2025-03-01,30
Arts_Recreation,04,2025-04-01,25
Arts_Recreation,04,2025-05-01,21
Arts_Recreation,05,2024-06-01,6
Arts_Recreation,05,2024-07-01,15
Arts_Recreation,05,2024-08-01,9
Arts_Recreation,05,2024-09-01,11
Arts_Recreation,05,2024-10-01,11
Arts_Recreation,05,2024-11-01,7
Arts_Recreation,05,2024-12-01,12
Arts_Recreation,05,2025-01-01,9
Arts_Recreation,05,2025-02-01,10
Arts_Recreation,05,2025-03-01,7
Arts_Recreation,05,2025-04-01,13
Arts_Recreation,05,2025-05-01,14
Arts_Recreation,06,2024-06-01,28
Arts_Recreation,06,2024-07-01,37
Arts_Recreation,06,2024-08-01,19
Arts_Recreation,06,2024-09-01,20
Arts_Recreation,06,2024-10-01,11
Arts_Recreation,06,2024-11-01,24
Arts_Recreation,06,2024-12-01,23
Arts_Recreation,06,2025-01-01,22
Arts_Recreation,06,2025-02-01,20
Arts_Recreation,06,2025-03-01,25
Arts_Recreation,06,2025-04-01,19
Arts_Recreation,06,2025-05-01,20
Arts_Recreation,07,2024-06-01,36
Arts_Recreation,07,2024-07-01,42
Arts_Recreation,07,2024-08-01,35
Arts_Recreation,07,2024-09-01,28
Arts_Recreation,07,2024-10-01,26
Arts_Recreation,07,2024-11-01,24
Arts_Recreation,07,2024-12-01,27
Arts_Recreation,07,2025-01-01,36
Arts_Recreation,07,2025-02-01,32
Arts_Recreation,07,2025-03-01,43
Arts_Recreation,07,2025-04-01,34
Arts_Recreation,07,2025-05-01,32
Arts_Recreation,08,2024-06-01,24
Arts_Recreation,08,2024-07-01,26
Arts_Recreation,08,2024-08-01,17
Arts_Recreation,08,2024-09-01,15
Arts_Recreation,08,2024-10-01,34
Arts_Recreation,08,2024-11-01,17
Arts_Recreation,08,2024-12-01,21
Arts_Recreation,08,2025-01-01,20
Arts_Recreation,08,2025-02-01,28
Arts_Recreation,08,2025-03-01,18
Arts_Recreation,08,2025-04-01,32
Arts_Recreation,08,2025-05-01,31
Arts_Recreation,09,2024-06-01,24
Arts_Recreation,09,2024-07-01,26
Arts_Recreation,09,2024-08-01,25
Arts_Recreation,09,2024-09-01,24
Arts_Recreation,09,2024-10-01,27
Arts_Recreation,09,2024-11-01,18
Arts_Recreation,09,2024-12-01,39
Arts_Recreation,09,2025-01-01,26
